phase_1,phase_2,phase_3,device
12.917,12.295,14.186,charger
12.951,12.27,14.249,charger
13.039,12.257,14.249,charger
13.044,12.281,14.249,charger
13.09,12.295,14.341,charger
13.051,12.257,14.223,charger
13.032,12.257,14.223,charger
13.035,12.279,14.365,charger
12.998,12.245,14.365,charger
13.056,12.245,14.365,charger
13.038,12.232,14.365,charger
13.043,12.253,14.371,charger
13.062,12.253,14.371,charger
13.071,12.24,14.348,charger
13.028,12.248,14.245,charger
13.026,12.233,14.294,charger
13.03,12.259,14.345,charger
13.026,12.255,14.49,charger
13.045,12.239,14.114,charger
13.026,12.264,14.088,charger
13.033,12.24,14.088,charger
13.007,12.257,14.088,charger
13.023,12.228,14.017,charger
13.011,12.247,14.056,charger
13.011,12.245,14.075,charger
13.024,12.259,14.354,charger
13.044,12.256,14.099,charger
13.038,12.263,14.086,charger
13.037,12.276,14.214,charger
13.051,12.264,14.315,charger
13.001,12.271,14.315,charger
13.031,12.287,14.246,charger
13.019,12.297,14.181,charger
13.016,12.264,14.405,charger
13.017,12.263,14.328,charger
13.024,12.273,14.302,charger
13.023,12.284,14.302,charger
13.042,12.284,14.302,charger
13.031,12.272,14.39,charger
13.03,12.268,14.39,charger
12.999,12.268,14.39,charger
13.038,12.261,14.39,charger
13.005,12.277,14.393,charger
13.025,12.289,14.228,charger
13.026,12.244,14.387,charger
13.02,12.251,14.265,charger
13.018,12.251,14.265,charger
12.994,12.251,14.265,charger
13.023,12.259,14.427,charger
13.001,12.27,14.404,charger
13.031,12.267,14.31,charger
12.989,12.281,14.43,charger
13.034,12.277,14.334,charger
13.014,12.264,14.455,charger
13.017,12.296,14.305,charger
13.033,12.266,14.323,charger
13.001,12.266,14.323,charger
13.043,12.27,14.398,charger
13.01,12.27,14.398,charger
13.025,12.265,17.265,charger
13.045,12.264,16.995,charger
13.022,12.241,17.6,charger
12.996,12.247,17.6,charger
12.899,12.265,16.945,charger
12.894,12.286,16.833,charger
12.895,12.264,16.833,charger
12.904,12.236,16.855,charger
12.887,12.236,16.855,charger
12.903,12.289,16.937,charger
12.901,12.289,16.937,charger
12.885,12.273,16.937,charger
12.924,12.284,16.937,charger
12.895,12.284,16.937,charger
12.925,12.285,16.937,charger
12.878,12.27,16.141,charger
12.869,12.369,16.141,charger
12.894,12.369,16.141,charger
12.875,12.38,15.88,charger
12.902,12.285,16.555,charger
12.9,12.251,16.884,charger
12.898,12.253,16.983,charger
12.897,12.281,18.334,charger
12.905,12.287,17.306,charger
12.938,12.228,17.618,charger
12.917,12.288,17.754,charger
12.9,12.261,17.275,charger
12.887,12.261,17.275,charger
12.875,12.258,17.275,charger
12.912,12.298,14.464,charger
12.916,12.298,14.464,charger
12.9,12.273,14.464,charger
12.899,12.272,14.385,charger
12.909,12.272,14.385,charger
12.898,12.27,14.367,charger
12.911,12.342,14.388,charger
12.919,12.281,14.326,charger
12.915,12.319,14.326,charger
12.879,12.261,14.273,charger
12.883,12.259,14.23,charger
12.876,12.285,14.302,charger
12.884,12.239,14.302,charger
12.906,12.287,14.344,charger
12.958,12.287,14.334,charger
12.931,12.284,14.267,charger
12.918,12.273,14.286,charger
12.897,12.259,14.258,charger
12.87,12.302,14.187,charger
12.882,12.284,14.305,charger
12.871,12.283,14.225,charger
12.911,12.307,14.251,charger
12.889,12.26,14.251,charger
12.898,12.275,14.265,charger
12.905,12.275,14.265,charger
12.899,12.284,14.361,charger
12.883,12.287,14.361,charger
12.888,12.287,14.361,charger
12.884,12.295,14.199,charger
12.895,12.279,14.268,charger
12.854,12.253,14.28,charger
12.9,12.302,14.32,charger
12.905,12.302,14.32,charger
12.903,12.292,14.348,charger
12.852,12.281,14.348,charger
12.893,12.313,14.413,charger
12.882,12.299,14.371,charger
12.917,12.284,14.387,charger
12.897,12.284,14.387,charger
12.882,12.291,14.241,charger
12.901,12.291,14.284,charger
12.897,12.31,14.24,charger
12.894,12.31,14.24,charger
12.913,12.296,14.081,charger
12.933,12.283,14.062,charger
12.917,12.283,14.062,charger
12.884,12.289,14.117,charger
12.877,12.266,14.017,charger
12.9,12.327,14.224,charger
12.896,12.309,14.154,charger
12.898,12.292,14.123,charger
12.925,12.291,14.095,charger
12.9,12.29,13.927,charger
12.882,12.294,14.304,charger
12.891,12.267,14.118,charger
12.915,12.315,14.118,charger
12.87,12.28,14.085,charger
12.893,12.272,14.345,charger
12.891,12.309,14.284,charger
12.889,12.309,14.284,charger
12.922,12.273,14.284,charger
12.911,12.33,14.155,charger
12.891,12.302,14.204,charger
12.955,12.302,14.204,charger
12.925,12.308,14.204,charger
12.968,12.308,14.204,charger
12.92,12.308,14.204,charger
12.916,12.308,14.204,charger
12.928,12.308,14.204,charger
12.891,12.318,14.204,charger
12.935,12.318,14.204,charger
12.906,12.314,14.609,charger
12.91,12.314,14.609,charger
12.947,12.332,15.546,charger
12.915,12.332,15.546,charger
